episode,total_reward,avg_distance,final_distance,initial_distance,phase
1,31.18008,352.38097396899394,233.80911303146436,593.2063265831915,2
2,30.987509,357.62763536234434,211.06282470348987,601.7653412176053,2
3,33.03821,363.9266736048191,210.61466770911014,599.9197951324157,2
4,24.97551,387.0721925852536,266.7009141158735,593.3974984684232,2
5,29.90336,372.02117314485815,263.3349365831081,603.7647031091303,2
6,26.879562,383.47347108155276,292.1777253510988,603.6045371102142,2
7,28.81078,379.6357752001216,264.7257834001826,588.7765963113217,2
8,30.021528,372.61651538523853,274.83237324271755,606.329101108803,2
9,30.50422,359.7592493619078,233.08074467267775,598.1170402377091,2
10,31.430622,386.79082265431583,244.5763686780432,601.1438123480369,2
11,26.716272,388.2956369717058,264.6825868226932,596.1981971323135,2
12,32.488182,356.4568097279378,214.7388423981887,595.464671840716,2
13,29.232342,383.0512286253276,265.6164876040499,601.805749664702,2
14,27.93833,368.79948782736204,257.3131346606885,594.7369213782587,2
15,30.01856,367.6898007380358,236.0505147129582,598.6317727567653,2
16,31.190533,364.01494178928516,233.14637447537135,588.2477661928386,2
17,29.047194,391.2878041133644,272.49632178987,601.7747647782417,2
18,29.749573,370.90911060501674,278.36666196951455,590.2274595830298,2
19,28.187654,376.7080436908647,256.5699335938808,602.7895984763636,2
20,29.105288,405.03021480589166,259.4151600901476,606.941710985563,2
21,32.005726,380.10526607753036,242.19454330392773,601.3025747720036,2
22,26.669083,387.8655791104298,284.01191901249865,600.9851850214515,2
23,29.24715,396.84748503899715,276.20388268916423,603.3057226102753,2
24,29.157274,390.58697206293965,276.0710742625891,597.3988969365224,2
25,29.432701,377.15095963400887,249.37016723450003,601.8879078688918,2
26,30.56469,384.5534998103059,253.71453344467673,599.4244794951983,2
27,28.480255,370.5820327136702,272.9552647681896,604.0372705722507,2
28,31.275568,362.53403777241743,220.83701043919905,597.7418534830248,2
29,33.659626,355.75388938517057,207.76021148459205,597.7768593088097,2
30,29.41929,403.06232214562044,282.8522799823611,592.4242137812506,2
31,28.411993,355.8403431132562,257.9995368600525,590.0005282796421,2
32,29.900932,381.5381103138625,276.9405003659286,601.7383017243664,2
33,27.1425,376.84641897014654,317.3838315507739,598.6489857528248,2
34,25.943253,396.92473308321047,283.26548922920017,613.5427019688423,2
35,28.986015,374.8116492293083,251.9635809358291,599.922320785558,2
36,30.184992,376.0135228290728,249.6496798925158,597.3526147652238,2
37,32.399986,369.6753221108381,212.17493215771867,610.750703345952,2
38,33.802174,341.1375430596559,202.63039334845004,596.2578049783036,2
39,28.879942,370.07644049279895,296.9402143826323,601.8932730314854,2
40,30.524656,390.54346752895486,236.9360383080128,599.1605294087298,2
41,26.598497,391.9541254805597,295.43556662423515,604.5862034110839,2
42,29.805254,362.7568911523383,260.5012083672504,605.6943532564438,2
43,29.62433,375.9766677004131,269.1495708069556,604.209444971629,2
44,26.771885,359.5119534634875,227.08371915411922,601.8951237558575,2
45,31.308214,389.91532591859647,243.50948195872866,602.5050260514957,2
46,31.690342,372.74132366162763,215.31345446904515,590.1029500525481,2
47,32.537144,348.73259436548625,200.38009750686047,605.302784768575,2
48,33.447746,341.4066180072392,203.0696759490616,602.9987870017239,2
49,30.924528,364.0468896838293,237.5814862118808,595.3932438939933,2
50,32.83627,352.2365012295876,225.3726442788698,599.1688320897886,2
51,30.164265,362.23707292491594,245.53255605426665,604.2391564963618,2
52,31.772709,348.4060492359315,192.7126232193678,610.6370688527428,2
53,30.850866,346.7217691982009,247.37579780119881,599.2648947380268,2
54,32.61861,330.6111239858507,221.18041954612622,594.2935669493777,2
55,32.542362,333.12267896302336,207.87884673763736,609.1372620395936,2
56,31.175772,350.60887135646664,247.6873489674117,610.0792106257542,2
57,30.602665,342.7492092253358,215.9944598287965,600.4836421673731,2
58,32.944668,345.53795960095505,202.92031500199508,591.1855397082683,2
59,32.78709,345.0903691389473,186.979928685434,591.6517667780793,2
60,29.653603,354.346789832048,239.98477387245134,601.7307755604866,2
61,33.62375,338.5325713408353,201.44322179978184,599.731501286896,2
62,30.105291,331.9676143256402,219.99238764975848,604.2186576384183,2
63,32.903862,339.19977771006654,209.97146406275516,594.3972534028954,2
64,35.16898,345.06606994204935,172.8930422407822,602.3812207085745,2
65,33.916046,347.60549809630794,197.99229929648504,590.5062317953326,2
66,31.144497,344.11860801272775,219.24412089660782,603.7694022689301,2
67,31.168833,335.0776614794365,239.07567485597528,600.7142730352784,2
68,32.05153,342.8228527224276,221.63079213986853,592.435811296314,2
69,31.96595,319.00983219911865,186.92840569097814,604.4297562299361,2
70,33.963116,326.2522401580852,195.74546787890037,584.7066628051026,2
71,33.807888,311.89686330147856,199.1501575329821,589.300768119206,2
72,33.543015,335.2679522818748,203.24898206183366,604.2220413609563,2
73,32.135002,327.7101945845503,212.52672482587906,602.3676336882124,2
74,30.583569,344.8935920962637,218.41975697797483,603.9342554742859,2
75,32.49795,334.7799243705241,197.77668393291052,593.285840516317,2
76,34.191055,334.42977849886125,189.72810606570678,596.782212677054,2
77,33.02674,324.8403113319283,203.04850727682805,603.1985353577367,2
78,29.363775,352.9264727711375,254.11694843296772,598.4443694968145,2
79,32.92453,335.14762478937826,190.5926103104076,598.1185164644559,2
80,30.820143,333.2206469456632,204.7488732168509,597.1532990901227,2
81,32.72078,326.44208336565015,207.63032573683188,598.6452624766621,2
82,34.106903,323.559046662441,182.09221525926938,585.2010579228179,2
83,31.914917,333.90504582406237,199.68808535914835,600.0333017325709,2
84,33.04607,333.6884704711349,208.9325445117225,610.0235592903999,2
85,33.08746,317.7236377164544,195.31035422373697,598.6372869253335,2
86,32.995544,332.51484582449064,193.53633752080282,598.1140859959097,2
87,32.236885,329.0844611281666,203.09318310678375,600.0582476873707,2
88,33.633545,329.4350116995028,184.67838033083353,590.733806216214,2
89,33.851044,332.44987564874936,200.99865029870452,608.590101433414,2
90,34.060474,325.20091901167655,197.80394519678447,590.4745510061147,2
91,31.660824,320.18435628137667,186.7239532449,592.6248822622194,2
92,33.82043,321.20324637290184,201.14477418173806,607.9509804878037,2
93,32.960274,332.2177443529281,207.62209381173022,589.3324400077129,2
94,34.42779,346.7047251236315,185.8030304797661,608.1927319271025,2
95,34.235428,336.0929524556853,197.0093758299579,599.6755214725702,2
96,34.224327,311.0616519962052,179.01634808037753,589.9685697792336,2
97,33.103867,334.85406357933323,212.52667132651843,588.3134128784878,2
98,31.502783,322.11233918408016,189.32438545115738,588.6029767936227,2
99,30.76248,327.88313790781416,211.70190124722762,599.9742156775469,2
100,33.71276,333.26369056790855,187.58708352189393,602.7888600605738,2
